DeliveryKey,DateKey,ShipmentKey,StatusKey,DistanceKm,OnTimeFlag
100088,20240405,5376,1,413.24,1
100089,20230118,3873,4,99.13,1
100090,20240616,2437,1,266.05,1
100091,20230810,24566,1,64.99,1
100092,20241209,15904,1,175.21,1
100093,20250523,3937,1,31.27,0
100094,20231120,3285,1,179.1,1
100095,20250702,4318,1,307.22,1
100096,20240904,27113,1,187.47,1
100097,20240901,4976,1,434.13,1
100098,20240823,21872,1,259.72,1
100099,20241013,34212,1,426.67,1
100100,20250310,28070,1,297.25,1
100101,20231024,2037,1,170.22,1
100102,20240628,13036,1,354.67,1
100103,20240722,9262,1,21.06,1
100104,20250807,33619,1,346.63,1
100105,20250713,17917,1,371.09,1
100106,20230824,21298,1,440.66,1
100107,20250713,25977,1,57.26,1
100108,20230926,3057,1,43.47,1
100109,20250116,2731,1,247.11,1
100110,20240229,9323,1,323.17,1
100111,20230130,17615,1,226.74,1
100112,20240721,12965,1,374.38,1
100113,20230401,31748,1,270.63,0
100114,20230906,26813,1,298.7,1
100115,20230106,1302,1,95.12,1
100116,20251110,15457,1,87.09,1
100117,20231127,10873,1,102.91,1
100118,20231001,7451,1,44.07,1
100119,20230513,31027,1,238.13,1
100120,20241003,26211,2,107.34,1
100121,20230421,29390,1,70.35,1
100122,20240927,28552,1,305.18,1
100123,20250913,7430,1,419.78,1
100124,20241215,2838,1,47.42,1
100125,20231028,24621,2,30.97,1
100126,20250620,11268,1,121.21,1
100127,20251215,24843,1,50.05,1
100128,20241026,7132,1,118.25,1
100129,20231216,2293,1,370.26,1
100130,20231020,22687,1,353.56,1
100131,20240907,18870,1,312.19,1
100132,20250924,3004,1,305.1,1
100133,20250319,5485,3,147.24,1
100134,20230511,15535,1,365.88,1
100135,20240614,12061,1,260.92,1
100136,20240706,29862,1,291.82,1
100137,20250602,23439,1,428.36,1
100138,20250121,3072,1,142.22,1
100139,20250524,2742,1,261.02,1
100140,20250929,17433,1,209.51,1
100141,20240304,8912,1,166.81,1
100142,20230611,173,1,200.22,1
100143,20231103,26938,1,220.55,1
100144,20240511,33526,1,439.91,1
100145,20230113,17177,1,234.57,1
100146,20240817,30650,1,193.3,1
100147,20240108,43,1,196.51,1
100148,20240913,782,1,22.02,1
100149,20250915,26958,3,39.76,1
100150,20240917,5687,1,382.28,1
100151,20230103,28537,1,430.09,1
100152,20250105,26065,1,259.78,1
100153,20231229,2960,1,435.2,1
100154,20230623,30657,1,337.1,1
100155,20240908,29121,1,218.89,1
100156,20251124,9970,1,447.67,1
100157,20230304,23753,1,306.14,1
100158,20230919,15555,3,219.21,1
100159,20240604,3838,1,319.01,1
100160,20230730,2281,1,103.26,1
100161,20230113,34257,1,52.77,1
100162,20241123,22303,1,175.88,1
100163,20251213,18451,1,187.32,1
100164,20251211,27897,1,219.01,0
100165,20240927,1985,1,236.47,1
100166,20230319,15930,1,439.09,1
100167,20230425,30065,1,151.98,1
100168,20240731,27780,1,373.48,0
100169,20231212,17067,1,443.3,1
100170,20230626,27190,1,119.4,1
100171,20231204,12936,1,282.51,1
100172,20230427,8,1,49.98,1
100173,20230314,24159,1,152.66,1
100174,20250903,32034,1,275.62,1
100175,20230805,12329,1,255.09,1
100176,20230113,9577,1,178.05,1
100177,20230223,27123,1,300.68,0
100178,20230104,10942,1,59.43,1
100179,20250216,6866,1,327.19,1
100180,20240122,31866,1,391.35,1
100181,20230117,30409,1,105.76,1
100182,20230428,23154,1,443.46,1
100183,20240227,21870,1,423.11,1
100184,20250715,17236,1,381.74,1
100185,20231126,29,1,30.19,1
100186,20230704,16515,1,416.97,1
100187,20250121,23772,1,427.73,1
100188,20230311,34346,1,359.95,1
100189,20241117,9104,1,210.87,1
100190,20250224,1493,1,124.76,1
100191,20230131,2081,1,367.22,1
100192,20241218,23726,1,185.15,1
100193,20251110,3412,1,236.34,1
100194,20240515,21530,1,150.0,1
100195,20230630,31650,4,55.47,1
100196,20240311,6818,1,129.1,1
100197,20250928,11337,1,69.12,1
100198,20231227,19225,1,285.09,1
100199,20250514,16537,1,355.69,1
100200,20230620,14289,1,236.34,1
100201,20230612,33984,1,234.97,1
100202,20230202,22865,1,83.93,1
100203,20230212,18742,2,66.11,1
100204,20240623,8128,1,262.39,1
100205,20240428,5943,1,52.28,1
100206,20240808,8207,1,290.42,1
100207,20251104,31151,3,298.93,1
100208,20230917,26953,1,204.91,1
100209,20250129,13546,1,59.69,1
100210,20250621,10645,1,266.27,1
100211,20250709,21384,1,104.1,1
100212,20230331,11826,3,380.52,1
100213,20231027,9902,1,278.13,1
100214,20230811,8593,1,282.59,1
100215,20250217,13315,1,376.26,1
100216,20241020,23572,1,282.18,1
100217,20250806,11148,2,34.57,1
100218,20231128,32178,1,324.52,1
100219,20250305,21941,1,73.12,1
100220,20230729,23309,1,78.06,1
100221,20240130,17852,1,337.75,1
100222,20231103,7905,3,327.33,1
100223,20230901,24473,1,51.42,0
100224,20251205,25575,1,312.18,1
100225,20240721,6787,1,100.66,1
100226,20240418,33506,1,203.78,1
100227,20251103,15669,1,427.47,1
100228,20231116,2306,1,276.64,1
100229,20251224,14422,1,52.33,1
100230,20250504,14494,1,243.1,1
100231,20250408,20330,1,411.49,1
100232,20230418,33931,1,424.88,1
100233,20230906,27165,1,374.41,1
100234,20230115,14368,1,449.53,1
100235,20250510,30872,1,38.31,1
100236,20251010,31286,1,113.15,1
100237,20240422,25018,1,236.48,1
100238,20230502,22650,1,41.98,1
100239,20240810,3160,1,234.12,1
100240,20240128,259,1,322.46,0
100241,20250602,8995,1,137.56,1
100242,20230508,5845,1,231.13,1
100243,20231030,12152,1,196.55,1
100244,20251115,9815,1,57.41,1
100245,20231223,30800,2,262.95,1
100246,20250427,21707,1,108.99,1
100247,20250125,28201,1,120.5,1
100248,20250807,32525,1,353.06,1
100249,20230113,25693,1,78.81,1
100250,20231229,34541,1,151.97,0
100251,20250829,3299,1,444.0,1
100252,20230125,30848,1,38.57,1
100253,20231125,32607,1,193.94,1
100254,20230627,3118,1,380.31,1
100255,20240603,1229,1,122.36,1
100256,20240713,24729,1,340.83,1
100257,20241028,29906,1,94.0,1
100258,20230424,5019,1,64.97,1
100259,20240324,12317,1,268.58,1
100260,20250114,2854,1,243.59,1
100261,20250922,17309,1,197.7,1
100262,20250608,23412,1,186.01,1
100263,20251016,21597,1,75.8,1
100264,20230601,25864,1,394.4,1
100265,20231030,15492,1,284.86,1
100266,20240427,14502,1,10.91,1
100267,20251006,33991,1,61.07,1
100268,20230728,28303,1,120.25,1
100269,20250108,29541,1,97.15,1
100270,20240322,34674,1,440.86,1
100271,20240426,21114,1,163.3,1
100272,20250628,1262,1,262.58,1
100273,20240730,1711,1,60.82,1
100274,20230625,23159,1,57.15,0
100275,20241014,16374,1,18.62,1
100276,20250904,18431,1,310.45,1
100277,20230525,20581,1,32.65,1
100278,20230423,29398,1,238.88,1
100279,20230130,32549,1,341.46,1
100280,20240128,2569,1,184.41,1
100281,20250117,24976,1,272.27,0
100282,20240709,5319,2,104.25,1
100283,20250723,33572,1,129.06,1
100284,20240610,21141,4,364.81,1
100285,20250314,23597,2,257.87,1
100286,20231013,14058,1,321.72,1
100287,20241217,7072,1,385.14,1
100288,20250324,8544,1,246.46,1
100289,20230409,24240,4,33.13,1
100290,20240821,4153,1,435.34,1
100291,20240325,8849,1,47.04,1
100292,20230424,2509,1,29.64,1
100293,20240112,33846,1,387.03,1
100294,20231028,22554,1,91.65,1
100295,20240628,13638,1,396.07,1
100296,20230814,27889,1,243.55,1
100297,20231117,3709,1,352.34,1
100298,20240312,7682,1,439.29,1
100299,20241011,25298,1,37.65,1
100300,20230209,4175,1,371.82,1
100301,20251129,715,1,125.84,1
100302,20240803,31824,1,269.11,1
100303,20230531,14736,1,24.84,1
100304,20230113,27593,1,137.1,1
100305,20251017,14989,1,127.07,1
100306,20241209,1275,2,182.16,1
100307,20251123,27080,1,83.88,1
100308,20241124,21037,4,391.47,1
100309,20250616,11500,1,165.53,1
100310,20230921,16523,1,50.64,0
100311,20251125,9456,3,368.58,1
100312,20250205,4553,1,411.2,1
100313,20250312,22609,1,280.94,1
100314,20240708,3984,1,172.71,1
100315,20230125,14882,1,331.97,1
100316,20250528,30368,1,11.52,0
100317,20230101,1167,1,121.29,1
100318,20240810,22071,1,260.84,1
100319,20241018,33006,1,122.04,1
100320,20230504,13263,1,84.81,1
100321,20230518,33936,1,358.43,1
100322,20230203,8725,1,36.42,1
100323,20241024,33071,1,414.51,1
100324,20251027,21182,1,72.89,1
100325,20240904,8471,1,11.35,1
100326,20250127,7804,1,230.64,1
100327,20240925,5030,1,441.67,1
100328,20241208,4692,1,249.41,1
100329,20230112,33340,1,386.05,1
100330,20240928,22836,1,203.28,1
100331,20251030,8339,1,441.6,1
100332,20241214,27266,1,117.82,1
100333,20230627,16020,1,420.19,1
100334,20230120,17897,1,14.44,1
100335,20250623,22617,1,361.38,1
100336,20230706,7190,1,75.6,1
100337,20230119,33554,4,88.91,1
100338,20230219,29745,1,66.16,1
100339,20240403,30245,1,55.69,1
100340,20250407,14809,2,261.06,1
100341,20250726,28950,1,127.41,1
100342,20241210,7802,1,29.89,1
100343,20251121,34129,1,68.45,0
100344,20230228,4932,1,235.77,1
100345,20240506,16406,1,43.45,1
100346,20250618,26199,1,277.54,1
100347,20251024,12675,1,119.47,1
100348,20250911,18216,1,84.33,1
100349,20230625,13650,1,363.45,1
100350,20250306,8836,1,355.37,1
100351,20230629,34369,1,113.67,1
100352,20240912,29440,1,101.68,1
100353,20250712,12282,1,165.24,1
100354,20241003,34044,1,374.87,0
100355,20251030,29865,1,234.5,0
100356,20250825,32066,1,373.12,1
100357,20240612,28028,1,90.53,1
100358,20250414,30172,1,103.15,1
100359,20250912,16188,1,202.57,1
100360,20230726,5360,2,196.32,1
100361,20250814,21984,1,25.19,0
100362,20240923,30211,1,144.86,1
100363,20251202,1229,1,410.61,1
100364,20230526,34885,1,404.71,1
100365,20250425,31233,1,445.33,1
100366,20250319,8316,1,357.98,1
100367,20250513,10072,1,390.19,1
100368,20241117,22541,1,327.72,1
100369,20250706,15652,1,128.2,1
100370,20250808,18693,1,446.29,1
100371,20250221,23350,1,259.93,1
100372,20240421,32964,1,240.53,1
100373,20250102,29795,1,424.75,1
100374,20230823,17841,1,353.64,1
100375,20241113,1358,1,365.94,1
100376,20240303,6647,1,283.64,1
100377,20230201,3680,1,275.75,1
100378,20250427,30097,1,361.33,1
100379,20230524,7549,1,145.75,1
100380,20250929,2318,1,438.62,1
100381,20231012,3446,1,151.41,1
100382,20230403,24863,1,181.33,1
100383,20230611,26742,1,255.26,1
100384,20250206,33675,1,14.64,1
100385,20241231,16228,1,439.02,1
100386,20230601,8576,1,369.9,1
100387,20241023,8275,2,249.53,1
100388,20240627,29686,2,169.84,1
100389,20250526,10273,1,140.76,1
100390,20250503,34118,1,63.87,1
100391,20250716,5693,1,55.4,1
100392,20230603,8805,1,24.0,1
100393,20250103,3325,1,164.08,1
100394,20230715,15894,1,106.47,1
100395,20230526,5151,2,364.37,1
100396,20250826,6199,1,147.86,1
100397,20230206,13527,1,75.55,1
100398,20240825,26843,1,165.94,1
100399,20250125,4832,1,155.27,0
100400,20240206,27239,1,116.88,1
100401,20251221,20046,1,96.75,1
100402,20240420,10159,1,55.43,0
100403,20251012,19858,1,281.26,1
100404,20250628,30452,1,405.52,1
100405,20240212,33859,1,152.81,1
100406,20251104,2089,1,406.93,1
100407,20240528,24886,1,382.62,1
100408,20251022,9876,1,74.49,0
100409,20240131,30185,2,322.89,1
100410,20230328,2413,1,412.32,1
100411,20250905,27238,1,418.08,1
100412,20230908,18813,1,196.08,1
100413,20230818,30218,1,111.94,1
100414,20250922,1166,1,325.89,1
100415,20251213,13848,1,215.45,1
100416,20240909,3971,1,26.75,1
100417,20230113,34063,1,407.18,1
100418,20250622,5724,1,131.59,1
100419,20251221,20872,1,443.64,1
100420,20250509,11588,1,109.36,0
100421,20240929,19699,1,145.37,1
100422,20240703,21056,1,393.3,1
100423,20250919,6542,1,312.19,1
100424,20230926,33815,1,199.95,1
100425,20250602,8848,1,108.45,1
100426,20240831,26846,1,36.29,1
100427,20240708,15333,1,182.87,1
100428,20240627,8717,1,253.84,1
100429,20240321,13157,2,308.47,1
100430,20250214,18902,1,208.83,0
100431,20241130,9221,1,440.7,1
100432,20230801,3617,1,229.7,1
100433,20251007,13274,1,333.73,0
100434,20231103,16241,1,379.15,1
100435,20240628,1917,1,211.94,1
100436,20230922,13436,1,162.27,1
100437,20250201,424,1,17.54,1
100438,20250418,11021,1,371.72,1
100439,20240204,28838,1,56.52,1
100440,20250723,32303,1,355.7,1
100441,20230926,19618,1,305.48,1
100442,20251021,22568,1,314.23,1
100443,20250205,32454,1,284.08,1
100444,20250724,7419,1,238.92,1
100445,20250421,2361,1,423.65,1
100446,20240112,16105,1,354.41,1
100447,20231215,9521,1,434.65,0
100448,20241113,13357,4,262.04,0
100449,20230415,24902,1,286.72,1
100450,20231105,15217,1,183.14,1
100451,20230401,17441,1,239.05,1
100452,20250626,22368,3,302.43,1
100453,20251026,25716,2,215.85,1
100454,20251023,12313,1,41.6,1
100455,20240516,12131,1,237.49,1
100456,20250621,14455,1,441.89,1
100457,20240125,20815,3,428.18,1
100458,20230301,26570,1,290.66,1
100459,20250811,6616,1,70.64,1
100460,20240402,7633,1,77.27,1
100461,20250715,16195,1,315.05,1
100462,20231103,21286,1,330.32,1
100463,20250217,12979,1,299.27,1
100464,20250331,1055,1,326.57,1
100465,20241006,27018,1,30.04,1
100466,20250929,27728,1,61.02,1
100467,20250809,1784,1,124.26,1
100468,20230428,26698,1,133.15,1
100469,20241009,5959,1,353.18,1
100470,20231225,26805,1,180.02,1
100471,20240725,19902,1,86.46,1
100472,20250312,12826,1,346.41,1
100473,20251117,32232,1,359.47,1
100474,20230202,34645,1,422.39,0
100475,20250414,10477,1,107.74,0
100476,20230829,29538,1,15.0,1
100477,20251105,34167,1,18.67,1
100478,20241114,2360,1,182.59,1
100479,20250815,2031,1,284.18,1
100480,20250122,9043,1,113.26,1
100481,20231216,6233,2,435.7,1
100482,20230630,8587,2,399.75,1
100483,20240521,13345,1,365.65,1
100484,20230224,33966,1,282.21,1
100485,20230122,5970,1,330.68,1
100486,20250914,27887,1,190.6,1
100487,20240823,12108,1,172.37,1
100488,20230523,29129,1,65.03,1
100489,20251114,27001,1,213.53,1
100490,20231003,2023,1,251.86,1
100491,20250131,15044,1,112.23,1
100492,20240923,22151,1,422.62,1
100493,20251128,24450,1,420.4,1
100494,20241013,8696,1,31.9,1
100495,20230206,33242,1,358.74,1
100496,20241218,16674,1,208.35,1
100497,20230523,28318,1,343.41,1
100498,20250703,32334,1,186.85,1
100499,20250304,463,1,240.01,1
100500,20250207,18526,1,241.94,1
100501,20230227,15764,2,102.03,1
100502,20230411,1057,1,311.08,1
100503,20240307,22592,1,285.57,1
100504,20230530,11237,1,253.26,1
100505,20230202,9118,1,279.32,1
100506,20230725,27885,1,60.67,0
100507,20230515,33232,1,97.32,1
100508,20240531,28732,1,10.59,0
100509,20230307,14098,1,444.89,1
100510,20231203,32884,1,140.3,1
100511,20240324,7143,1,412.12,1
100512,20250309,10631,1,76.47,1
100513,20251228,16919,1,12.48,1
100514,20241220,32556,3,158.36,1
100515,20251201,7328,1,343.47,1
100516,20251021,15537,1,46.5,1
100517,20250820,27560,1,407.23,1
100518,20250505,989,1,288.73,1
100519,20250616,3462,1,190.5,1
100520,20231012,1461,1,204.72,1
100521,20230112,13570,3,175.92,1
100522,20231010,30547,1,319.3,0
100523,20230612,17571,1,308.98,1
100524,20230117,31290,1,352.65,1
100525,20230808,31722,1,12.81,1
100526,20241229,19635,1,173.2,1
100527,20250323,12828,1,18.49,1
100528,20250404,19837,1,403.29,1
100529,20230710,18917,1,116.99,1
100530,20230920,27721,1,323.98,1
100531,20240830,577,1,320.67,1
100532,20241215,17062,1,398.29,1
100533,20251210,8648,1,413.45,1
100534,20250808,691,1,282.42,1
100535,20230223,34861,1,290.0,1
100536,20240128,33024,1,436.54,1
100537,20240606,6996,1,220.26,1
100538,20251006,34201,1,253.32,1
100539,20230612,22546,1,241.42,0
100540,20251011,16293,1,364.02,1
100541,20230130,20529,1,260.59,1
100542,20250104,13958,1,132.7,1
100543,20230102,30405,1,306.46,1
100544,20240411,13449,1,437.23,1
100545,20251009,19831,1,269.52,1
100546,20230804,20322,3,369.07,1
100547,20241101,34464,1,371.03,0
100548,20230106,11860,1,33.7,1
100549,20250402,13334,1,362.55,1
100550,20240412,28810,1,129.17,1
100551,20250826,20933,1,70.92,1
100552,20230302,30014,1,302.56,1
100553,20251117,695,1,410.73,1
100554,20240505,32749,1,295.57,1
100555,20251114,17532,1,394.81,1
100556,20230924,752,1,165.18,1
100557,20241228,24629,1,79.87,1
100558,20250630,32436,1,407.25,0
100559,20251204,16364,1,422.38,1
100560,20241223,15791,1,347.09,1
100561,20241004,13373,1,58.31,1
100562,20250228,676,1,307.74,1
100563,20250428,33848,1,53.22,1
100564,20230304,17122,1,442.66,1
100565,20250712,28933,1,449.1,1
100566,20251215,7104,1,229.6,1
100567,20230720,7250,4,345.4,1
100568,20240223,22635,1,168.98,1
100569,20230522,27910,1,287.61,1
100570,20230714,11786,1,415.17,1
100571,20240823,942,1,55.67,1
100572,20251007,15874,1,352.35,1
100573,20230314,6887,1,214.73,1
100574,20250607,4470,1,80.15,1
100575,20241203,5696,1,166.49,1
100576,20240311,9628,1,374.85,1
100577,20230112,24122,1,275.71,0
100578,20240527,21858,1,133.09,0
100579,20251129,16514,1,110.88,1
100580,20251017,8693,1,120.03,1
100581,20250915,14790,1,57.02,1
100582,20250911,7534,1,122.08,1
100583,20250304,30680,1,167.78,1
100584,20241201,32622,1,98.18,1
100585,20231021,13455,1,19.78,1
100586,20230917,5011,2,323.14,1
100587,20250623,33919,1,117.42,1
100588,20250918,23106,1,185.43,1
100589,20230811,28664,1,345.62,0
100590,20230508,21634,1,348.36,1
100591,20230821,27058,1,122.39,1
100592,20250820,18849,1,416.6,1
100593,20240322,8821,1,423.24,1
100594,20250810,9359,1,252.25,1
100595,20240715,33451,1,30.8,0
100596,20231120,15269,1,257.62,1
100597,20231030,30240,1,335.01,1
100598,20240903,29068,1,155.13,1
100599,20251210,6361,1,242.71,1
100600,20240517,9572,1,156.74,1
100601,20230312,23516,1,80.81,1
100602,20230403,16880,1,242.18,1
100603,20251020,30130,1,184.3,1
100604,20241023,5864,1,311.05,1
100605,20240512,34210,1,431.13,1
100606,20240723,25171,1,194.18,1
100607,20240706,1987,1,74.79,1
100608,20251213,7700,1,73.27,1
100609,20230110,16865,1,346.51,1
100610,20231218,18228,3,294.65,0
100611,20250810,23712,1,87.05,1
100612,20250501,19063,1,73.41,1
100613,20240512,25369,1,20.45,1
100614,20230204,7682,1,424.43,1
100615,20250109,5697,1,23.48,1
100616,20250404,24984,1,28.55,1
100617,20240305,15988,1,363.97,1
100618,20230517,30940,1,270.58,1
100619,20241230,843,3,132.78,1
100620,20250705,24209,4,78.99,1
100621,20240329,11459,1,256.23,1
100622,20230520,6408,1,72.22,1
100623,20230308,31629,1,48.07,1
100624,20240401,32088,1,172.46,0
100625,20251004,32404,1,97.26,1
100626,20240106,14182,1,140.71,1
100627,20231126,16532,1,384.47,1
100628,20230707,20008,1,344.42,1
100629,20250621,26700,1,42.2,1
100630,20231012,25124,1,292.59,1
100631,20230915,19114,1,373.27,1
100632,20241105,17673,1,235.07,1
100633,20250912,21701,4,23.09,1
100634,20241226,2315,1,198.08,1
100635,20251219,12762,1,181.38,0
100636,20230513,22416,1,32.53,1
100637,20230823,22418,1,183.94,1
100638,20240315,28618,1,181.93,1
100639,20230502,5052,1,117.8,1
100640,20231008,3636,1,261.02,1
100641,20240803,8887,1,134.49,1
100642,20240816,21367,1,234.26,1
100643,20250315,27368,1,308.39,1
100644,20250628,17661,1,246.73,1
100645,20250112,15832,1,325.49,1
100646,20240916,9054,1,46.88,1
100647,20230725,2849,1,295.96,1
100648,20230621,3307,1,396.84,1
100649,20250623,21724,1,220.41,1
100650,20250415,12018,2,141.83,1
100651,20231025,22617,1,184.28,1
100652,20251112,22693,1,441.42,1
100653,20250826,24247,1,218.16,1
100654,20240804,19154,1,273.39,0
100655,20240723,793,1,114.5,1
100656,20251022,18639,1,394.79,1
100657,20240920,10588,1,225.61,1
100658,20230303,20215,1,217.33,1
100659,20240116,26296,1,362.78,1
100660,20230714,6652,1,395.8,1
100661,20250802,12758,1,318.46,1
100662,20231107,4548,1,100.87,1
100663,20231229,19427,2,384.22,1
100664,20230723,31582,1,18.58,1
100665,20250227,11481,1,54.55,1
100666,20250206,25257,1,228.93,1
100667,20240921,32228,1,71.78,1
100668,20230530,34714,1,356.96,1
100669,20230607,18274,1,318.63,1
100670,20230716,26249,1,250.2,1
100671,20230412,10973,1,105.44,1
100672,20240727,6745,1,250.79,1
100673,20240205,21623,1,197.03,1
100674,20240416,28039,1,417.99,1
100675,20240817,26694,4,66.76,1
100676,20240429,23013,1,294.55,1
100677,20230710,8695,1,121.22,1
100678,20241124,24850,1,388.99,1
100679,20240914,13689,2,164.57,1
100680,20250119,3326,1,210.42,1
100681,20230206,27759,1,362.22,1
100682,20231005,32452,2,323.4,1
100683,20231229,28804,1,257.44,1
100684,20230421,2772,1,436.96,1
100685,20240807,2518,1,227.94,1
100686,20231229,29027,2,68.28,1
100687,20230620,9226,1,395.78,1
100688,20250225,6795,1,25.89,1
100689,20230923,28347,4,217.97,0
100690,20230203,12715,1,95.85,1
100691,20251012,3559,1,314.08,1
100692,20231119,14665,1,25.12,0
100693,20230526,16106,1,350.58,1
100694,20230911,28749,1,262.89,1
100695,20231022,12103,1,67.04,1
100696,20251129,9420,1,379.39,1
100697,20240531,4522,1,214.84,1
100698,20240624,4231,1,170.57,1
100699,20230419,13941,1,159.25,1
100700,20230212,11290,1,217.56,1
100701,20231111,16766,1,348.04,1
100702,20240528,3749,1,308.03,1
100703,20230628,10052,3,186.03,1
100704,20230914,16645,1,327.25,1
100705,20241117,20021,1,390.97,1
100706,20250602,2687,1,44.88,1
100707,20240501,4806,2,235.18,1
100708,20240308,23796,1,197.01,1
100709,20230210,1979,1,59.67,1
100710,20250107,11123,1,420.26,1
100711,20240529,1228,1,221.36,1
100712,20230630,29792,1,46.89,1
100713,20250619,22335,1,244.16,1
100714,20240620,651,4,296.45,1
100715,20250502,31800,1,88.26,1
100716,20230906,27226,1,46.1,1
100717,20241227,33462,1,106.9,1
100718,20241022,21293,1,442.93,1
100719,20250801,20780,1,331.32,1
100720,20230617,22127,1,297.54,1
100721,20240227,24208,2,145.56,1
100722,20250906,18804,1,88.35,1
100723,20240713,25166,1,296.51,1
100724,20240630,917,1,425.23,1
100725,20231123,5953,1,269.84,1
100726,20241008,26792,1,22.23,1
100727,20250319,21311,1,26.85,1
100728,20251228,366,1,51.39,1
100729,20230910,20385,1,438.18,1
100730,20241022,431,1,288.37,1
100731,20250923,12290,1,416.56,1
100732,20250713,8820,1,225.24,1
100733,20240222,19725,1,134.06,1
100734,20251215,16905,1,293.12,1
100735,20240621,16962,1,165.22,1
100736,20230514,23332,1,355.32,1
100737,20230301,26665,1,421.9,1
100738,20230123,16529,1,438.83,1
100739,20240703,25539,1,85.66,1
100740,20250509,26405,1,308.98,1
100741,20240805,11609,1,72.94,1
100742,20230530,33011,1,423.46,1
100743,20250723,19550,1,280.03,1
100744,20240513,10819,1,362.98,1
100745,20230817,26844,1,339.82,1
100746,20240526,19379,1,253.78,1
100747,20230702,644,1,323.1,1
100748,20250807,23248,1,18.66,1
100749,20240830,3004,1,289.72,1
100750,20231201,21088,1,65.86,0
100751,20250104,19791,1,234.33,1
100752,20240713,901,3,253.57,1
100753,20230820,30361,1,349.49,1
100754,20230706,9967,1,434.55,1
100755,20240429,13995,1,152.29,1
100756,20251020,2329,1,327.39,0
100757,20240114,22049,1,196.39,1
100758,20241129,4423,1,313.88,1
100759,20240321,29776,1,398.56,1
100760,20240122,16154,3,131.93,1
100761,20240326,32998,1,261.83,1
100762,20231016,9558,1,99.65,1
100763,20240228,3655,1,204.45,1
100764,20241128,9212,1,145.34,1
100765,20230628,15949,1,185.93,1
100766,20230305,33976,1,438.89,1
100767,20240331,33857,1,199.75,1
100768,20240317,29265,1,308.1,1
100769,20240405,17063,1,264.55,1
100770,20250628,22024,1,439.55,1
100771,20230908,19287,1,399.73,1
100772,20250205,31026,1,44.13,1
100773,20230909,28350,1,406.47,1
100774,20231008,31630,1,146.69,1
