ShipmentKey,DateKey,VehicleKey,DriverKey,TotalWeightKg,FreightCost
68,20250307,84,40,4619.93,1319.87
69,20250618,77,98,12842.05,144.46
70,20230518,27,48,16709.38,1334.28
71,20230703,87,34,12119.99,1101.38
72,20250223,80,85,13283.49,1283.68
73,20250910,31,100,8481.77,1034.35
74,20230310,12,92,2485.89,1148.64
75,20240629,97,62,3060.88,964.53
76,20230222,45,58,14192.11,759.05
77,20230724,32,34,16046.25,1400.11
78,20230506,54,57,16924.73,254.67
79,20230212,66,105,7573.35,189.25
80,20230421,87,29,19392.66,1031.6
81,20250130,32,90,13011.52,1043.04
82,20250427,15,77,3494.48,1278.67
83,20230405,55,52,1813.09,1007.96
84,20250618,41,98,11125.56,222.62
85,20231226,40,83,14950.94,1331.13
86,20250618,72,8,852.24,238.78
87,20231008,49,93,940.05,729.21
88,20241028,86,107,11776.72,981.1
89,20230403,38,104,19802.64,985.32
90,20241102,56,16,14881.9,727.35
91,20230302,34,92,3455.49,562.7
92,20240925,1,30,2200.48,521.59
93,20251210,10,87,16379.52,1462.86
94,20251025,40,93,16290.66,576.08
95,20240826,16,84,9408.32,913.78
96,20241112,88,81,1196.99,910.26
97,20240617,46,26,15442.0,899.19
98,20250417,24,57,8533.0,969.71
99,20241006,14,111,16419.68,467.42
100,20230821,90,39,3310.05,574.02
101,20240607,39,33,9533.44,198.65
102,20231212,18,78,10764.57,899.42
103,20251205,84,31,7707.65,434.45
104,20240629,41,80,19803.77,340.01
105,20250304,56,21,15376.4,1266.74
106,20230906,36,99,16687.88,914.65
107,20230216,24,50,5200.79,881.62
108,20230802,90,83,8001.01,318.4
109,20230827,29,6,2660.1,722.71
110,20251215,22,60,19967.04,877.26
111,20231216,11,87,5523.25,713.21
112,20230417,41,90,2461.38,847.41
113,20250410,49,73,4501.8,120.83
114,20230217,11,13,11645.35,379.36
115,20231203,52,58,7045.53,403.59
116,20251115,67,44,3697.22,629.38
117,20250314,85,79,9632.26,1417.06
118,20230108,75,32,13574.13,857.68
119,20240916,8,59,13463.14,458.9
120,20241219,31,103,787.54,1103.36
121,20231030,74,108,15230.53,406.34
122,20240930,6,81,5202.66,320.66
123,20230225,81,45,18482.39,517.07
124,20241226,71,55,3200.35,509.88
125,20240609,96,93,8289.2,689.87
126,20240418,13,49,6588.11,1100.05
127,20230128,6,61,10081.65,910.51
128,20230319,67,40,6614.86,789.52
129,20231231,27,82,15539.14,1427.89
130,20241027,45,34,7948.52,145.16
131,20240609,26,113,7327.58,665.61
132,20241129,4,89,19439.18,1058.83
133,20250601,37,12,8367.34,548.59
134,20251027,21,109,3035.6,765.61
135,20251023,28,15,5726.08,142.12
136,20250707,82,107,14606.7,384.53
137,20250119,32,88,5606.18,214.19
138,20231229,53,9,13769.59,1458.88
139,20250316,33,104,18339.13,1142.13
140,20250108,26,20,7795.01,1014.69
141,20251104,17,89,4256.63,102.96
142,20240429,56,111,14477.59,753.1
143,20230128,93,88,9036.85,1091.31
144,20241214,84,49,1399.89,951.59
145,20251128,30,90,11779.86,820.18
146,20230327,5,14,11819.18,1261.08
147,20230506,6,5,13793.27,569.3
148,20250322,62,48,14837.68,1274.45
149,20240620,10,57,13089.63,643.59
150,20230525,70,93,7096.95,912.87
151,20230125,10,60,16789.93,827.77
152,20230308,85,72,18737.91,674.72
153,20230821,44,81,6390.96,473.01
154,20230419,56,118,5995.73,727.62
155,20230421,4,43,10503.59,269.83
156,20230816,13,86,19722.46,581.79
157,20230421,74,82,3685.56,911.66
158,20230203,80,91,10151.51,186.39
159,20240914,19,64,4287.17,1140.98
160,20250117,70,2,8492.87,894.42
161,20240817,90,1,7887.95,1451.01
162,20240229,62,118,11632.22,227.26
163,20240904,9,64,1175.4,417.39
164,20241122,46,105,16241.44,853.37
165,20231111,56,72,14332.11,779.02
166,20250526,74,85,19996.92,797.75
167,20241023,40,24,5486.97,578.55
168,20231004,67,2,17422.08,1312.54
169,20240915,83,108,12401.86,171.86
170,20240530,62,59,5004.27,1321.24
171,20250422,99,102,6266.48,1186.78
172,20231216,46,92,897.79,1203.86
173,20250402,6,34,7199.05,1374.42
174,20250128,29,56,18038.65,893.34
175,20250617,19,76,1967.09,1312.18
176,20230831,15,114,18597.64,667.16
177,20240626,57,5,7902.3,1057.99
178,20251129,38,109,14946.88,526.73
179,20230817,21,55,13341.64,1228.95
180,20240701,51,119,13613.38,148.57
181,20250708,39,36,11192.7,1283.44
182,20230106,87,72,9553.95,264.54
183,20240412,20,94,18601.34,318.27
184,20230316,2,55,13760.71,1159.24
185,20230104,32,10,12484.89,431.49
186,20241007,92,85,8655.76,787.86
187,20230428,4,46,4889.05,798.07
188,20250530,7,52,535.49,625.34
189,20240518,3,62,19624.02,1405.55
190,20250804,25,98,15249.29,889.42
191,20240727,9,98,19882.82,1103.86
192,20230713,87,4,15518.75,1346.41
193,20250426,87,56,1387.76,960.63
194,20241215,26,11,9159.71,1072.79
195,20251115,64,86,2777.26,719.33
196,20230622,18,105,16124.76,1493.63
197,20231122,88,50,4126.65,1186.27
198,20250415,91,61,13324.42,1451.16
199,20241224,2,23,13341.63,278.14
200,20230813,1,113,12958.26,132.06
201,20240615,48,98,17627.91,832.88
202,20230423,80,30,14652.12,1124.12
203,20230520,63,89,6886.04,1266.15
204,20240712,88,88,6638.46,1288.34
205,20230101,36,25,934.72,501.75
206,20230331,63,30,18211.57,1162.79
207,20241015,75,39,2517.8,320.31
208,20231116,26,108,9842.87,827.01
209,20230519,6,80,10415.76,429.55
210,20250424,26,74,9232.92,424.35
211,20230916,93,95,11698.51,519.58
212,20250620,43,11,14720.44,530.37
213,20241120,1,73,4326.58,568.75
214,20230110,9,36,1937.12,1378.72
215,20230918,27,112,17219.69,1061.6
216,20230621,71,83,10148.23,106.16
217,20250616,3,52,2983.46,662.0
218,20230113,61,5,13605.42,331.05
219,20231117,73,76,4850.02,1109.7
220,20231125,2,74,2095.61,1475.55
221,20250223,74,14,6010.15,798.31
222,20250215,81,20,6289.45,1473.4
223,20250629,31,20,17434.52,486.25
224,20231114,65,44,6493.33,913.45
225,20230824,18,119,15715.13,863.22
226,20231130,6,100,11756.04,1214.31
227,20240111,42,116,2346.58,465.96
228,20240810,68,25,3551.09,462.83
229,20240527,4,41,2062.26,596.74
230,20250706,99,110,8329.02,917.75
231,20250522,4,69,19412.83,289.55
232,20230927,65,105,4025.54,1436.89
233,20250308,41,91,7170.89,744.87
234,20241225,43,2,16490.28,804.69
235,20230105,95,12,17577.89,675.04
236,20250430,55,28,14839.85,642.19
237,20230319,19,44,9608.15,738.91
238,20240727,21,13,13153.06,439.34
239,20230512,58,85,9275.69,307.03
240,20240823,30,43,17047.99,710.86
241,20251201,7,55,8492.49,1047.05
242,20230330,69,8,16446.98,599.01
243,20240206,64,64,11920.67,251.19
244,20231023,2,117,10664.15,833.55
245,20240907,67,12,13301.44,833.7
246,20250310,79,41,6196.32,336.48
247,20240226,74,44,8147.17,580.33
248,20251112,9,11,16198.36,1205.04
249,20240728,23,19,7987.6,145.02
250,20230523,14,60,13245.09,233.07
251,20250919,54,72,13439.2,1080.94
252,20241026,45,27,17459.88,901.47
253,20230525,97,71,9151.63,910.35
254,20251003,16,85,18099.32,740.76
255,20240517,84,27,19864.84,220.26
256,20250331,72,14,3799.38,174.07
257,20230414,98,96,14450.67,553.83
258,20251128,95,93,14118.05,179.32
259,20230717,57,24,9394.81,891.38
260,20240801,8,64,6424.49,1050.64
261,20240126,25,92,1031.23,965.59
262,20240707,41,24,12906.31,1121.07
263,20251104,62,118,6656.32,1432.91
264,20240422,77,2,11267.72,1454.43
265,20250711,18,52,2881.64,499.68
266,20240224,50,95,1363.31,508.27
267,20230606,41,12,16146.52,1140.73
268,20240703,34,65,2897.3,1486.01
269,20251017,100,60,3178.75,678.01
270,20250923,81,58,11626.5,359.42
271,20250808,12,85,14756.61,1120.29
272,20231016,80,93,655.83,639.41
273,20230715,77,94,9121.43,212.03
274,20240820,75,42,12809.4,1148.11
275,20240531,78,1,14892.65,671.39
276,20250514,42,22,18984.09,927.88
277,20250316,55,106,814.33,1068.67
278,20250325,92,72,18023.26,1249.21
279,20230816,59,13,19350.35,970.01
280,20230804,51,78,17382.44,1410.28
281,20250805,88,106,19003.25,778.71
282,20230115,53,65,2811.46,842.42
283,20230216,81,96,19848.83,525.74
284,20231120,9,38,15421.71,284.66
285,20250423,94,64,1854.97,979.93
286,20230510,3,76,13738.36,509.63
287,20230405,8,52,14210.95,1099.84
288,20240918,82,111,12772.35,968.93
289,20250124,59,109,17556.19,493.85
290,20250304,30,111,15100.9,880.36
291,20230310,67,80,3653.67,1483.69
292,20230111,55,88,5378.87,1335.27
293,20250521,34,108,9536.72,683.52
294,20240703,43,84,8198.88,1062.37
295,20241212,28,107,13428.2,356.62
296,20230123,37,108,3160.29,114.21
297,20250325,89,32,7408.95,1275.34
298,20231212,30,27,5234.74,679.82
299,20231029,71,98,6225.91,354.11
300,20231229,62,61,14361.38,541.42
301,20240131,29,86,2069.27,1391.67
302,20230806,2,62,17803.24,1349.34
303,20230521,90,3,13000.32,1011.3
304,20250815,57,81,8527.27,228.88
305,20250911,57,78,9972.55,1105.19
306,20250919,42,91,14114.72,1346.19
307,20250407,49,103,14749.73,1386.57
308,20241113,57,84,16191.77,640.94
309,20250930,71,110,5641.31,337.14
310,20231222,18,95,17228.23,1445.28
311,20251004,70,105,16696.66,1234.61
312,20250606,27,31,17174.15,705.78
313,20230507,54,93,2076.16,984.91
314,20251005,24,64,3300.58,656.54
315,20240826,97,42,12682.85,740.14
316,20251010,95,58,19083.4,558.91
317,20230220,34,43,2643.42,177.88
318,20251118,22,32,14907.66,1495.96
319,20250217,88,30,3154.25,435.36
320,20250324,63,107,19034.11,506.13
321,20240224,36,91,16102.26,554.93
322,20250909,92,83,6123.14,441.99
323,20250404,84,61,1428.17,556.12
324,20251021,61,28,9014.6,893.31
325,20240720,82,45,10738.92,210.78
326,20240106,42,10,10777.93,200.15
327,20250724,96,16,17112.06,746.87
328,20241022,33,31,19627.55,1075.27
329,20250826,74,10,8922.4,404.29
330,20230721,9,74,3693.99,828.24
331,20231109,25,92,7850.9,716.66
332,20230427,13,12,14386.52,733.14
333,20250725,47,97,11881.53,1082.23
334,20240728,45,28,2192.39,935.98
335,20230901,5,18,4593.89,757.44
336,20240620,31,52,14023.73,478.5
337,20230316,31,28,14112.48,919.37
338,20240121,98,28,12375.96,292.33
339,20240419,90,107,6233.72,682.28
340,20240222,71,103,3683.48,288.64
341,20231213,41,64,4961.91,545.4
342,20241001,46,14,16247.36,991.45
343,20250727,52,8,10027.04,1201.48
344,20250812,84,94,7348.41,429.83
345,20250525,86,100,3150.27,998.56
346,20250201,5,3,8155.25,482.71
347,20241025,12,74,8647.01,681.68
348,20230125,21,9,17777.56,1380.08
349,20241210,9,47,18832.22,241.59
350,20230626,93,63,16869.23,1477.51
351,20231012,91,40,8069.46,999.37
352,20230304,17,77,11403.87,952.53
353,20250929,24,86,16903.05,400.3
354,20241023,27,24,1483.84,372.42
355,20241027,8,71,10890.23,1392.07
356,20230605,44,13,8273.32,324.38
357,20251208,62,6,7930.13,340.4
358,20250824,29,74,7326.76,1080.43
359,20250428,83,51,12989.04,1086.19
360,20241119,74,60,8637.85,657.73
361,20230528,24,75,6782.28,1370.55
362,20231208,34,29,11542.86,1386.92
363,20240420,60,16,7776.05,1277.92
364,20251222,31,118,1176.5,122.48
365,20240714,4,84,8643.79,522.98
366,20231123,95,64,4323.75,506.48
367,20250916,9,85,2448.32,191.85
368,20230803,90,55,17515.67,1350.32
369,20240310,77,29,13990.57,1489.64
370,20250809,90,78,7927.32,300.7
371,20241223,54,55,19712.84,499.38
372,20230201,1,60,7660.32,137.4
373,20241031,61,41,5266.95,261.62
374,20231012,73,80,9733.4,799.36
375,20240304,31,9,18938.47,615.08
376,20231013,88,6,13447.71,693.22
377,20251108,45,102,14746.57,1032.63
378,20230118,60,29,3723.19,236.76
379,20250207,86,18,1282.85,1286.87
380,20240812,73,24,10974.01,1311.84
381,20251006,87,51,6941.4,328.17
382,20230713,84,17,1331.83,988.76
383,20240516,42,100,17975.05,1066.5
384,20250914,85,21,989.5,343.3
385,20230424,27,83,746.77,624.7
386,20250804,58,62,6333.8,1069.17
387,20250410,69,87,10196.46,1042.27
388,20250713,81,91,9290.52,1274.15
389,20230224,98,117,7519.56,285.53
390,20250310,73,75,17343.68,552.0
391,20250216,34,90,6302.91,1153.99
392,20230611,10,117,13229.4,448.24
393,20230328,66,54,8272.85,851.93
394,20230224,25,11,8079.16,292.19
395,20251028,3,43,18689.78,319.85
396,20250412,34,86,14100.22,458.36
397,20231109,71,83,10995.02,511.56
398,20250128,28,8,3905.11,158.49
399,20240318,9,23,3183.05,1298.19
400,20231124,11,112,4276.13,161.5
401,20251213,93,53,12725.26,1167.9
402,20250130,80,87,1592.36,501.78
403,20240801,39,40,9549.94,657.78
404,20251210,93,9,9465.12,909.15
405,20251003,13,24,18397.2,414.62
406,20230406,99,76,7713.5,207.42
407,20250324,11,76,17983.6,1439.96
408,20240505,35,96,12494.09,1259.57
409,20240327,8,2,8106.91,1163.13
410,20230614,7,70,10768.36,848.3
411,20230701,69,4,2337.37,992.7
412,20240413,70,61,17847.58,1310.11
413,20250628,57,77,12814.19,644.42
414,20250104,35,64,8994.42,246.42
415,20250402,94,36,15626.89,1277.35
416,20250801,11,41,8387.58,187.84
417,20230107,38,103,9489.23,1386.0
418,20231126,91,38,8729.49,1110.7
419,20250213,85,82,19932.76,723.6
420,20230531,78,15,15518.54,961.5
421,20230527,49,48,18611.4,849.05
422,20250703,35,97,7903.11,662.19
423,20241130,29,106,10058.29,279.97
424,20230323,88,30,4426.48,1231.67
425,20240528,100,100,697.58,922.85
426,20250325,41,63,4298.12,1083.55
427,20241209,96,25,18614.06,391.79
428,20250115,6,4,9399.25,381.82
429,20251019,10,18,3051.49,1274.59
430,20241207,84,45,9325.17,866.29
431,20240415,84,120,15958.35,734.0
432,20240131,90,118,10265.51,230.57
433,20230918,85,97,18768.07,696.67
434,20250315,23,84,18018.05,1085.01
435,20250722,46,106,9728.36,245.09
436,20250623,12,85,2117.68,140.85
437,20251212,55,65,14236.72,874.44
438,20250728,13,98,7449.39,542.61
439,20250503,74,73,15821.7,1368.38
440,20240815,7,65,6522.93,929.59
441,20241214,12,111,6947.14,520.63
442,20240923,61,27,11075.25,539.47
443,20230228,25,79,985.51,280.71
444,20230508,2,88,3808.3,712.69
445,20250105,26,60,17102.58,195.8
446,20241221,51,59,19153.16,716.91
447,20240609,69,25,4245.69,268.72
448,20240604,62,34,15563.1,1048.04
449,20240705,72,108,2681.32,1011.52
450,20230825,73,50,9717.47,1273.68
451,20240508,39,55,10415.13,1391.37
452,20230104,84,10,11492.69,1015.46
453,20241027,11,94,7548.06,316.0
454,20240317,64,109,17194.31,811.58
455,20230129,86,105,6417.41,1417.66
456,20240901,80,58,9961.96,378.99
457,20250315,42,89,4279.8,645.07
458,20230316,10,3,11670.58,1147.28
459,20250417,89,119,4344.85,1168.6
460,20230508,19,86,5209.34,1429.16
461,20230211,4,104,9028.56,446.03
462,20230210,83,110,5916.32,1301.62
463,20250722,3,120,1282.53,173.51
464,20230203,81,88,16030.42,304.12
465,20251106,14,56,16492.73,1420.25
466,20250924,10,27,18063.92,1333.05
467,20240810,6,90,19607.79,185.31
468,20231208,31,16,2708.23,194.68
469,20230127,31,38,5852.85,592.69
470,20241007,48,105,12797.06,659.97
471,20241231,9,53,17589.2,754.96
472,20230617,76,68,3665.08,867.89
473,20240901,26,23,9929.15,282.88
474,20230925,2,83,19586.34,1480.98
475,20250331,4,56,6955.03,1440.98
476,20240330,96,79,10076.51,672.39
477,20250624,92,95,14029.14,782.82
478,20250710,6,88,8723.66,608.41
479,20250907,30,75,14492.02,1010.95
480,20241202,55,53,3379.26,1079.03
481,20240925,28,74,4996.64,849.54
482,20230510,61,72,8044.38,1394.02
483,20251016,77,67,19686.16,585.36
484,20250329,55,19,7301.11,464.08
485,20241123,36,4,18353.06,1017.94
486,20250304,74,29,17560.05,327.61
487,20230129,74,45,15238.2,908.13
488,20230529,5,105,7721.73,552.6
489,20230111,29,21,6943.62,292.24
490,20241106,100,54,12974.01,543.05
491,20230706,12,116,5035.02,383.56
492,20250317,22,109,7530.08,981.29
493,20250113,59,73,16395.12,172.4
494,20230408,39,52,4608.94,1245.67
495,20230224,2,115,16648.37,917.94
496,20240914,14,112,11264.23,1299.9
497,20241025,10,18,10475.54,324.38
498,20250127,48,83,12465.59,761.12
499,20240210,64,17,12812.62,1035.12
500,20230310,3,44,11387.52,304.16
501,20250120,72,107,14177.87,119.53
502,20250815,60,24,7481.31,1420.22
503,20231231,81,113,16309.14,1193.05
504,20240426,68,6,4813.5,1195.09
505,20230720,21,95,14429.63,1388.73
506,20230603,94,27,8015.63,909.37
507,20230314,19,47,14049.8,998.18
508,20241213,79,98,1132.26,392.57
509,20231023,20,46,8110.72,758.54
510,20251106,58,91,19280.87,320.63
511,20230302,42,91,11670.91,238.39
512,20250727,94,35,10236.63,457.46
513,20230211,10,57,5325.11,743.32
514,20230125,23,12,10084.07,993.54
515,20251128,88,29,16556.46,806.06
516,20230511,12,57,7099.48,1352.24
517,20230418,9,70,11515.21,557.58
518,20230621,79,55,13634.33,1285.54
519,20230412,29,37,8317.04,710.01
520,20250515,82,71,6019.26,293.24
521,20240607,20,70,3533.66,1312.18
522,20231002,65,53,2473.23,785.03
523,20251203,3,83,5201.44,296.04
524,20250327,8,14,881.03,363.42
525,20250814,39,114,15323.24,201.05
526,20251106,64,21,2679.49,1001.91
527,20231126,31,78,18030.15,608.41
528,20230112,72,104,10458.81,1452.99
529,20230804,79,14,9410.68,853.81
530,20231205,22,53,1763.24,443.63
531,20241022,96,115,3099.95,924.46
532,20240109,5,96,17206.78,1467.39
533,20250902,58,90,13619.04,132.38
534,20241210,73,67,2343.49,337.77
535,20240410,79,79,13782.8,1399.42
536,20240503,63,85,3053.62,134.38
537,20230216,61,94,14785.97,1448.69
538,20250216,52,48,18919.03,978.95
539,20251105,33,111,15287.8,424.34
540,20241211,22,78,16564.32,225.56
541,20240205,51,111,12602.01,245.79
542,20250907,11,56,572.41,1272.85
543,20230907,58,39,15811.33,1250.0
544,20240126,50,101,8380.02,1267.41
545,20231201,70,41,17524.4,1444.9
546,20240920,17,48,11669.56,646.83
547,20230517,46,28,4235.51,1382.17
548,20250601,44,2,1569.94,326.11
549,20241118,57,22,11324.26,1414.88
550,20250406,5,119,11553.78,441.11
551,20241227,39,71,17271.32,671.21
552,20240816,58,108,1255.67,821.5
553,20250916,9,96,16514.54,1224.45
554,20240107,93,61,8409.85,645.0
555,20250723,23,80,10802.59,578.18
556,20250921,47,36,10901.12,1475.89
557,20240206,36,66,7955.36,204.41
558,20240906,31,81,4127.03,135.82
559,20250921,84,49,2037.05,179.37
560,20240911,23,3,4536.31,1379.87
561,20230707,56,112,14428.16,425.9
562,20230511,71,23,13804.09,161.17
563,20250315,46,59,13670.71,1120.27
564,20250724,58,101,18199.95,996.6
565,20250912,36,103,9408.99,1208.45
566,20230702,68,28,15303.18,833.21
567,20250909,88,109,13530.21,348.01
568,20231230,60,105,18772.24,506.85
569,20230208,14,72,13561.11,185.67
570,20240511,25,33,4014.35,1085.39
571,20250908,71,68,15012.84,1006.74
572,20250709,79,117,7480.52,1052.86
573,20241222,44,71,5472.31,1468.7
574,20230116,46,11,5924.01,184.29
575,20240507,13,104,16589.04,191.11
576,20250612,62,8,9330.59,1133.74
577,20231107,19,20,9647.46,1461.87
578,20250108,12,62,708.36,859.8
579,20240629,90,43,5768.01,1237.77
580,20240218,48,103,17725.86,953.14
581,20230908,33,92,10212.34,1405.35
582,20250128,79,75,8619.48,379.47
583,20251128,37,114,1942.57,606.95
584,20250324,6,86,6221.48,957.85
585,20230129,89,100,3058.49,378.07
586,20250815,81,70,3705.92,1267.81
587,20240421,43,7,7106.96,1217.09
588,20231114,100,10,1808.33,1106.52
589,20230902,50,40,15676.48,968.15
590,20250117,46,4,12626.24,406.88
591,20241127,73,73,16094.97,1318.0
592,20230929,28,102,7282.97,908.6
593,20240112,99,113,4832.2,396.67
594,20230923,67,19,12004.93,1131.69
595,20250714,11,110,927.94,144.34
596,20250709,20,97,2235.94,405.24
597,20231206,87,38,14958.5,417.58
598,20240124,30,22,17804.08,508.33
599,20240730,36,103,4506.8,148.12
600,20230103,76,1,15924.37,1279.61
601,20240111,100,113,7981.37,236.29
602,20231120,99,53,8610.6,1260.88
603,20230526,98,21,17738.38,352.38
604,20231020,68,113,12610.29,1277.37
605,20240307,88,7,16332.54,140.73
606,20241205,36,110,15627.45,1198.27
607,20250806,58,7,11694.79,845.92
608,20240807,28,86,15083.23,402.81
609,20240203,39,77,14310.06,669.09
610,20250327,66,23,9865.53,235.92
611,20250821,43,60,3460.84,292.15
612,20230706,5,86,5694.35,613.92
613,20230302,92,90,7839.31,677.4
614,20250727,13,18,11940.44,1186.41
615,20241210,100,117,6306.65,1158.81
616,20250317,9,71,4504.62,436.16
617,20230111,94,66,1193.2,357.43
618,20251221,57,53,4644.23,335.64
619,20230814,27,19,11012.04,927.02
620,20240717,61,64,3222.62,912.75
621,20250210,77,14,1072.43,246.9
622,20250603,50,25,1956.5,576.56
623,20230814,92,33,19066.06,1324.14
624,20250404,82,48,1191.71,1419.19
625,20230806,34,39,9710.52,1460.69
626,20250725,85,112,13921.34,1071.07
627,20250122,65,84,4850.76,152.81
628,20240520,45,108,19301.6,779.24
629,20230916,87,5,942.71,440.47
630,20230223,34,113,17661.8,1343.15
631,20251206,100,21,8134.22,159.28
632,20241227,73,59,7984.79,258.13
633,20241119,8,120,9708.09,500.72
634,20251109,94,77,19442.35,1081.2
635,20240223,48,14,12747.67,1410.68
636,20241120,36,63,17632.18,643.44
637,20250429,100,54,1042.6,578.3
638,20230303,82,80,17990.33,1195.79
639,20230804,66,45,4662.49,1357.49
640,20230103,11,114,6641.69,222.63
641,20230609,52,50,1935.35,1480.56
642,20250219,36,41,18343.96,813.64
643,20250611,95,92,10759.03,1491.95
644,20231125,31,1,2256.46,117.81
645,20240802,24,2,8250.02,1347.37
646,20250809,21,72,7932.79,238.19
647,20240926,96,13,1491.12,1188.92
648,20250914,30,102,7278.69,100.41
649,20250709,72,19,6211.5,290.89
650,20250107,97,51,18429.57,325.34
651,20230619,64,2,16232.27,950.05
652,20240604,39,95,3621.72,1071.52
653,20230209,1,10,18665.37,226.05
654,20250812,97,69,14991.67,668.25
655,20250910,42,87,10071.52,1082.48
656,20250901,77,118,8936.89,1373.37
657,20230207,86,30,18573.46,365.37
658,20231124,5,96,6457.48,694.65
659,20250702,12,65,7726.5,419.23
660,20240329,29,109,13977.73,151.66
661,20230206,3,44,15306.09,738.38
662,20250830,61,42,6879.77,687.61
663,20250306,51,3,18479.15,1250.23
664,20250830,36,111,5494.05,1346.71
665,20240815,75,30,7276.23,594.74
666,20251129,90,37,4333.18,1091.6
667,20230812,2,28,10973.2,909.06
668,20231114,29,51,19985.82,1178.07
669,20231215,41,115,14502.06,304.85
670,20230425,29,85,9690.69,1238.19
671,20241128,100,13,19667.07,943.8
672,20251129,64,40,1458.9,1174.45
673,20230209,58,26,6075.08,688.0
674,20230804,83,104,16843.29,111.54
675,20231202,10,30,10725.03,1385.15
676,20230402,11,24,591.58,1119.86
677,20231219,7,38,9406.68,1067.06
678,20240724,77,105,925.43,762.58
679,20250326,61,110,11682.98,161.4
680,20250219,66,69,12838.46,292.94
681,20231229,94,16,4427.46,713.98
682,20240710,86,110,19736.7,1210.72
683,20231222,53,106,16759.18,1345.72
684,20230710,65,55,9544.74,740.94
685,20240226,27,49,6536.29,1492.97
686,20241130,7,80,740.61,1471.71
687,20230107,65,52,14018.63,609.13
688,20230513,58,49,5626.22,190.74
689,20240710,25,64,8195.79,790.04
690,20250405,48,48,8858.13,1471.28
691,20250130,4,74,17149.41,612.16
692,20251120,94,82,17102.42,592.02
693,20240618,8,38,15636.27,525.61
694,20240301,85,17,15452.58,1430.07
695,20241102,68,41,10147.48,363.6
696,20231229,60,54,15926.82,709.4
697,20230323,4,40,17233.78,386.24
698,20231222,8,31,10219.56,256.43
699,20240811,90,90,18057.63,711.09
700,20231022,93,26,19812.43,1228.3
701,20251205,16,104,3918.0,110.85
702,20230117,19,76,19591.13,779.06
703,20231226,1,18,5291.99,808.29
704,20250515,34,98,18713.61,206.39
705,20241130,93,35,17096.62,1469.67
706,20240323,91,120,18363.1,376.96
707,20250505,45,75,9490.1,1369.27
708,20231231,63,56,3445.71,421.03
709,20241105,94,117,4841.11,834.48
710,20251004,6,30,6441.54,1220.31
711,20240411,36,45,5369.51,1429.71
712,20240218,66,114,19363.95,662.08
713,20240808,78,75,3543.38,198.14
714,20250920,8,110,13872.96,132.18
715,20240725,67,52,10476.19,1323.33
716,20231201,99,68,1167.03,770.2
717,20230206,27,55,4625.91,309.93
718,20250915,34,100,18704.61,749.8
719,20231005,28,10,16428.08,411.42
720,20250704,31,54,11926.15,1079.25
